Sexo,Años cumplidos,Estatura,Peso,Carrera,Semestre,Consumo de verduras en el desayuno/comida/cena,Actividad fisica en la semana,Obstaculos para realizar ejercicio,Lugares con comida balanceada
Hombre,21,189,59,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,Ningún día,Falta de motivación,Si
Mujer,22,167,57,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,22,196,58,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,197,59,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,21,188,66,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,174,77,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,156,85,Ingeniería en Diseño,Quinto semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,191,81,Ingeniería industrial,Séptimo semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,21,150,55,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,24,153,65,Licenciatura en Ciencias Empresariales,Séptimo semestre,Todos los días,2-3 veces,Falta de motivación,No
Mujer,20,166,83,Ingeniería en Mecatronica,Quinto semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,167,77,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,158,85,Ingeniería en Diseño,Séptimo semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,169,68,Ingeniería en Mecatronica,Tercer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,171,55,Ingeniería en Diseño,Séptimo semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,177,66,Ingeniería en Diseño,Primer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,23,154,85,Ingeniería en Diseño,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,19,184,74,Ingeniería en Electrónica,Noveno semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,161,58,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,19,150,69,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,198,63,Ingeniería en Mecatronica,Séptimo semestre,Todos los días,2-3 veces,Falta de motivación,No
Mujer,19,160,72,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Mujer,22,151,57,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,24,187,83,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,190,66,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,156,74,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,21,171,70,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,156,65,Ingeniería industrial,Tercer semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,171,58,Ingeniería en Diseño,Noveno semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,23,162,72,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,21,183,69,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,19,153,75,Ingeniería en Electrónica,Noveno semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,185,77,Ingeniería industrial,Tercer semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,21,173,63,Ingeniería en Electrónica,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,165,84,Ingeniería en Mecatronica,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,22,175,59,Ingeniería en Diseño,Séptimo semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,183,63,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,Si
Mujer,24,196,77,Ingeniería industrial,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,181,67,Ingeniería industrial,Quinto semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,19,173,81,Ingeniería en Electrónica,Séptimo semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,167,85,Ingeniería en Electrónica,Quinto semestre,2-3 veces,2-3 veces,Falta de motivación,Si
Hombre,23,180,62,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,24,162,75,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,19,159,74,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,Ningún día,Falta de motivación,Si
Mujer,21,196,85,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,21,162,77,Ingeniería en Mecatronica,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,198,78,Ingeniería en Diseño,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,190,60,Ingeniería en Mecatronica,Tercer semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,23,152,58,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,174,57,Ingeniería en Diseño,Tercer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,23,188,73,Licenciatura en Ciencias Empresariales,Séptimo semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Mujer,24,169,61,Ingeniería en Electrónica,Quinto semestre,Todos los días,Todos los días,Falta de motivación,Si
Hombre,21,190,76,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,22,152,63,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,21,177,57,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,24,160,73,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,23,182,84,Ingeniería en Diseño,Quinto semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,193,73,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,183,57,Ingeniería industrial,Quinto semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,21,198,55,Ingeniería en Mecatronica,Tercer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,20,181,78,Ingeniería en Diseño,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,179,62,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Mujer,19,185,76,Ingeniería en Electrónica,Tercer semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,24,183,68,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Ningún día,Falta de motivación,Si
Mujer,19,180,64,Ingeniería industrial,Noveno semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,193,63,Ingeniería en Mecanica Automotriz,Quinto semestre,2-3 veces,2-3 veces,Falta de motivación,No
Mujer,19,176,73,Licenciatura en Ciencias Empresariales,Séptimo semestre,2-3 veces,2-3 veces,Falta de motivación,No
Mujer,23,151,63,Ingeniería en Diseño,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,23,171,79,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,157,61,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,159,55,Ingeniería en Electrónica,Quinto semestre,Todos los días,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,23,189,76,Ingeniería industrial,Primer semestre,1 vez,Todos los días,Falta de motivación,Si
Mujer,21,173,62,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,198,65,Ingeniería en Electrónica,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Hombre,21,150,83,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,19,163,83,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,21,177,58,Ingeniería en Electrónica,Noveno semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,24,162,56,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,174,71,Ingeniería en Diseño,Quinto semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,23,169,80,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,Todos los días,Falta de motivación,No
Mujer,24,152,66,Ingeniería en Mecatronica,Séptimo semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,22,192,82,Ingeniería en Diseño,Tercer semestre,1 vez,Ningún día,Falta de motivación,Si
Mujer,23,194,85,Ingeniería en Diseño,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,22,187,57,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,Falta de motivación,Si
Hombre,22,162,72,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,24,153,85,Ingeniería industrial,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,192,82,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,19,164,57,Ingeniería industrial,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,23,161,69,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,23,153,70,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,166,78,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,186,61,Ingeniería en Diseño,Séptimo semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,19,177,66,Ingeniería en Mecanica Automotriz,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,22,158,80,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,19,188,61,Ingeniería en Electrónica,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,24,197,55,Ingeniería industrial,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,20,174,72,Ingeniería en Electrónica,Noveno semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,150,57,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,19,192,61,Ingeniería en Mecatronica,Primer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,21,186,65,Ingeniería en Electrónica,Tercer semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,20,179,69,Ingeniería en Mecatronica,Tercer semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,21,168,62,Ingeniería industrial,Séptimo semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,20,152,67,Ingeniería industrial,Tercer semestre,2-3 veces,1 vez,Falta de motivación,Si
Mujer,20,165,78,Licenciatura en Ciencias Empresariales,Noveno semestre,1 vez,Todos los días,Falta de motivación,Si
Hombre,20,188,75,Ingeniería en Diseño,Primer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,177,71,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,22,170,82,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,168,82,Ingeniería en Electrónica,Noveno semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,No
Mujer,24,186,82,Ingeniería industrial,Noveno semestre,Todos los días,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,173,77,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,2-3 veces,Falta de motivación,Si
Hombre,19,187,73,Licenciatura en Ciencias Empresariales,Tercer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,19,150,74,Ingeniería en Mecanica Automotriz,Primer semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,23,189,71,Ingeniería industrial,Primer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,20,171,76,Ingeniería en Diseño,Séptimo semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,24,170,55,Ingeniería industrial,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,153,76,Ingeniería en Diseño,Tercer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,22,172,64,Ingeniería en Electrónica,Séptimo semestre,Todos los días,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,160,79,Ingeniería en Diseño,Primer semestre,2-3 veces,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,19,195,59,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,171,63,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,164,64,Licenciatura en Ciencias Empresariales,Quinto semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,Si
Hombre,20,183,65,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,19,152,78,Ingeniería industrial,Tercer semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,23,163,62,Ingeniería en Mecanica Automotriz,Séptimo semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,152,80,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Ningún día,Falta de motivación,No
Mujer,23,187,70,Ingeniería en Electrónica,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,Si
Mujer,22,197,65,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,Todos los días,Falta de motivación,No
Mujer,20,175,77,Ingeniería en Diseño,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,24,196,71,Ingeniería en Mecatronica,Primer semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,21,183,81,Ingeniería en Electrónica,Tercer semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,23,155,69,Ingeniería en Electrónica,Quinto semestre,2-3 veces,1 vez,Falta de motivación,Si
Mujer,21,163,80,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,19,194,57,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Hombre,24,174,76,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,24,162,57,Ingeniería industrial,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,Si
Hombre,23,174,71,Ingeniería industrial,Primer semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,19,175,70,Ingeniería industrial,Tercer semestre,1 vez,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Hombre,20,179,79,Ingeniería en Electrónica,Primer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,21,180,75,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,156,56,Ingeniería en Electrónica,Tercer semestre,1 vez,1 vez,Falta de motivación,No
Mujer,23,186,82,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,19,180,82,Ingeniería en Diseño,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,164,59,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,20,174,65,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,22,178,68,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,21,167,75,Licenciatura en Ciencias Empresariales,Noveno semestre,Todos los días,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,23,193,73,Ingeniería en Diseño,Quinto semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,22,150,73,Ingeniería industrial,Quinto semestre,Todos los días,1 vez,Falta de motivación,Si
Hombre,24,173,85,Ingeniería en Electrónica,Primer semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,19,174,70,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,176,82,Licenciatura en Ciencias Empresariales,Primer semestre,Todos los días,1 vez,Falta de motivación,Si
Mujer,23,193,57,Licenciatura en Ciencias Empresariales,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,21,164,61,Ingeniería industrial,Quinto semestre,Todos los días,2-3 veces,Falta de tiempo debido a la Universidad,No
Mujer,20,196,68,Ingeniería en Diseño,Noveno semestre,1 vez,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,Si
Mujer,21,167,75,Ingeniería en Mecanica Automotriz,Noveno semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,Si
Mujer,20,157,79,Ingeniería en Mecatronica,Noveno semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,24,193,80,Ingeniería industrial,Tercer semestre,Todos los días,1 vez,Falta de motivación,No
Mujer,23,161,79,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,177,85,Ingeniería en Electrónica,Quinto semestre,1 vez,Todos los días,Falta de motivación,No
Mujer,21,162,61,Ingeniería en Diseño,Noveno semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,23,178,73,Ingeniería en Mecanica Automotriz,Noveno semestre,1 vez,Todos los días,Falta de areas especificas cerca del lugar donde rentas,Si
Hombre,20,175,82,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,21,186,68,Ingeniería en Diseño,Tercer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,162,70,Ingeniería en Diseño,Tercer semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Mujer,20,156,64,Ingeniería industrial,Noveno semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,No
Hombre,19,195,56,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,Todos los días,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,24,166,66,Ingeniería industrial,Tercer semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,No
Hombre,22,178,66,Ingeniería en Mecanica Automotriz,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,24,186,82,Ingeniería industrial,Quinto semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,22,196,71,Ingeniería en Diseño,Quinto semestre,2-3 veces,Ningún día,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,19,185,74,Licenciatura en Ciencias Empresariales,Primer semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Hombre,21,185,68,Ingeniería en Electrónica,Primer semestre,2-3 veces,Ningún día,Falta de motivación,No
Mujer,24,186,81,Ingeniería en Mecatronica,Noveno semestre,2-3 veces,Ningún día,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,22,151,72,Ingeniería en Mecanica Automotriz,Tercer semestre,1 vez,2-3 veces,Falta de motivación,No
Mujer,22,183,57,Ingeniería en Mecanica Automotriz,Tercer semestre,Todos los días,Todos los días,Falta de motivación,Si
Hombre,20,168,60,Licenciatura en Ciencias Empresariales,Quinto semestre,Todos los días,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Hombre,20,187,85,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,Falta de motivación,No
Hombre,23,195,77,Ingeniería en Electrónica,Primer semestre,Todos los días,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,19,196,74,Ingeniería en Diseño,Séptimo semestre,1 vez,Ningún día,Falta de tiempo debido a la Universidad,Si
Hombre,22,179,85,Ingeniería en Mecanica Automotriz,Séptimo semestre,Todos los días,1 vez,Falta de motivación,No
Hombre,23,150,68,Ingeniería en Electrónica,Noveno semestre,1 vez,Ningún día,Falta de motivación,No
Hombre,19,157,78,Ingeniería en Electrónica,Primer semestre,2-3 veces,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,20,159,55,Ingeniería en Electrónica,Quinto semestre,1 vez,Ningún día,Falta de motivación,No
Mujer,20,173,68,Ingeniería en Diseño,Séptimo semestre,Todos los días,Ningún día,Falta de motivación,Si
Hombre,20,167,84,Ingeniería en Mecanica Automotriz,Séptimo semestre,1 vez,Todos los días,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",Si
Mujer,22,197,70,Ingeniería en Diseño,Primer semestre,Todos los días,1 vez,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,23,169,78,Ingeniería en Electrónica,Séptimo semestre,2-3 veces,2-3 veces,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,171,70,Ingeniería en Mecanica Automotriz,Quinto semestre,1 vez,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,20,163,66,Ingeniería en Electrónica,Séptimo semestre,1 vez,Todos los días,Falta de tiempo debido a la Universidad,Si
Hombre,22,183,83,Ingeniería en Electrónica,Quinto semestre,2-3 veces,1 vez,"Falta de tiempo debido a la Universidad, Falta de motivación",No
Hombre,24,167,58,Ingeniería en Electrónica,Noveno semestre,1 vez,2-3 veces,Falta de motivación,No
Hombre,22,166,81,Licenciatura en Ciencias Empresariales,Primer semestre,2-3 veces,Todos los días,Falta de tiempo debido a la Universidad,No
Hombre,24,186,73,Ingeniería industrial,Séptimo semestre,1 vez,2-3 veces,"Falta de tiempo debido a la Universidad, Falta de areas especificas cerca del lugar donde rentas",No
Mujer,20,186,81,Ingeniería en Mecatronica,Primer semestre,Todos los días,Ningún día,"Falta de tiempo debido a la Universidad, Falta de motivación",Si
Mujer,23,154,66,Licenciatura en Ciencias Empresariales,Tercer semestre,Todos los días,1 vez,Falta de tiempo debido a la Universidad,Si
Mujer,22,154,58,Ingeniería en Electrónica,Quinto semestre,2-3 veces,Ningún día,Falta de tiempo debido a la Universidad,No
Mujer,23,196,80,Ingeniería en Mecatronica,Tercer semestre,2-3 veces,1 vez,Falta de tiempo debido a la Universidad,Si
Hombre,20,150,83,Ingeniería en Electrónica,Quinto semestre,2-3 veces,1 vez,Falta de areas especificas cerca del lugar donde rentas,No
Mujer,23,168,76,Ingeniería en Diseño,Quinto semestre,1 vez,1 vez,Falta de motivación,Si
Hombre,19,163,79,Licenciatura en Ciencias Empresariales,Noveno semestre,2-3 veces,Ningún día,Falta de motivación,No
